Épellation,Contexte,Type
âge,Quel est ton âge ?,1
aller,Je vais aller au parc cet après-midi.,1
ami,J'ai un nouvel ami à l'école.,1
amie,J'ai une nouvelle amie dans ma classe.,1
âne,Je vois un âne qui porte des paniers sur son dos.,1
arc,J'ai acheté un arc en bois pour notre jeu,1
bain,Je prends un bain chaud le soir.,1
balle,Je lance la balle très haut.,1
banane,Je mange une banane au petit-déjeuner.,1
banc,Nous nous asseyons sur un banc au parc.,1
bébé,Le bébé dort dans son lit.,1
belle,Cette journée est belle et ensoleillée.,1
bête,Cette petite bête vit dans le jardin.,1
blanc,Le drap est tout blanc.,1
bloc,J'ai besoin d'un bloc de papier pour écrire.,1
bon,Ce gâteau est très bon.,1
bonbon,J'ai un bonbon au citron.,1
bord,Le bord de la table est dangeureux.,1
chat,Le chat dort dans un panier.,1
chaud,Il fait très chaud en été.,1
chien,Mon chien aime courir dans le parc.,1
chose,Prends soin de chaque chose que tu utilises.,1
ciel,Il y a des étoiles dans le ciel.,1
corde,La corde sert à attacher le bateau.,1
couper,Peux-tu couper la pomme en deux ?,1
cri,J'ai entendu un cri dans la forêt.,1
dame,La dame porte un chapeau rouge.,1
danser,J'aime danser avec mes amis.,1
Dieu,Les mythes parlent souvent d'un Dieu puissant.,1
dix,J'ai dix pommes dans mon sac.,1
donner,Je vais donner un cadeau à mon frère.,1
doux,Ce coussin est tout doux.,1
eau,Cette eau n'est bonne à boire.,1
entrer,Tu peux entrer dans ma chambre.,1
été,"En été, j'aime aller à la plage.",1
fête,Ma fête est dans un mois.,1
fille,La fille joue à la corde à sauter.,1
fini,J'ai fini mes devoirs.,1
fleur,Cette fleur est jaune et rose.,1
gants,Mets tes gants pour ne pas avoir froid.,1
glace,J'adore la glace à la vanille.,1
grue,La grue transporte de lourdes charges.,1
île,Nous avons visité une petite île en bateau.,1
joie,J'ai sauté de joie en voyant mon cadeau.,1
joli,Ce dessin est très joli.,1
jouer,J'aime beaucoup jouer avec mes amis.,1
jupe,Elle porte une jupe bleue.,1
lac,Le lac est calme aujourd'hui.,1
lancer,Je vais lancer la balle.,1
lapin,Le lapin mange une carotte.,1
